FlowCell Text Data File: Rel606.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-10-20
Time: 15:43:57
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Sorvall/Thermo/Fisher
Rotor Model: TH-641
Speed: 35k rpm
Gradient: Sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 882574
Source A Zero: 330125.4

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
617209.300, 331964.933, 18.27, 0.817338, , 
624629.067, 332073.300, 18.37, 0.791180, , 
630937.867, 331959.633, 18.47, 0.767794, , 
636811.567, 331957.300, 18.57, 0.746925, , 
641616.333, 331871.967, 18.67, 0.729431, , 
647034.833, 331917.800, 18.77, 0.710816, , 
652151.700, 332132.900, 18.87, 0.694547, , 
656303.800, 332075.933, 18.97, 0.679879, , 
660741.533, 332175.100, 19.07, 0.665385, , 
663491.067, 331835.733, 19.17, 0.653739, , 
666158.100, 331958.967, 19.27, 0.645547, , 
669061.800, 331946.700, 19.37, 0.635676, , 
671308.733, 331995.333, 19.47, 0.628461, , 
674060.967, 331951.000, 19.57, 0.618953, , 
675515.733, 331868.867, 19.67, 0.613544, , 
677593.100, 331943.367, 19.77, 0.607139, , 
679190.000, 331775.233, 19.86, 0.600702, , 
680148.867, 331887.533, 19.97, 0.598288, , 
680893.967, 331919.800, 20.06, 0.596043, , 
681799.233, 332005.033, 20.16, 0.593631, , 
682251.267, 331820.533, 20.26, 0.590888, , 
682259.700, 331943.500, 20.36, 0.591694, , 
682202.900, 331863.733, 20.46, 0.591341, , 
680874.300, 331871.567, 20.56, 0.595781, , 
680312.567, 332026.667, 20.66, 0.598690, , 
678438.533, 331881.400, 20.76, 0.603913, , 
676385.100, 332000.467, 20.86, 0.611542, , 
673597.433, 331943.467, 20.96, 0.620450, , 
669494.133, 331857.400, 21.06, 0.633617, , 
665651.933, 331862.033, 21.16, 0.646600, , 
660264.700, 331765.733, 21.26, 0.664235, , 
655531.533, 331948.533, 21.35, 0.681665, , 
648508.767, 331916.233, 21.45, 0.705685, , 
640739.533, 331965.633, 21.56, 0.733143, , 
631210.767, 332087.900, 21.65, 0.767691, , 
620012.967, 331968.167, 21.75, 0.807161, , 
607478.700, 331998.133, 21.85, 0.853325, , 
593323.933, 332112.133, 21.95, 0.907155, , 
578197.100, 332076.067, 22.05, 0.965030, , 
562063.233, 332026.500, 22.15, 1.028382, , 
545427.500, 332012.167, 22.25, 1.095898, , 
528151.533, 332047.667, 22.35, 1.168573, , 
511904.067, 332141.100, 22.45, 1.239523, , 
497473.767, 332131.600, 22.55, 1.303809, , 
481063.067, 332054.200, 22.65, 1.378774, , 
467489.333, 331994.767, 22.75, 1.442783, , 
456300.533, 332053.267, 22.85, 1.497696, , 
446456.800, 332111.900, 22.95, 1.547173, , 
439106.100, 331993.833, 23.05, 1.583733, , 
432664.167, 331950.433, 23.14, 1.616699, , 
428468.933, 331995.033, 23.24, 1.638929, , 
425672.633, 331801.400, 23.35, 1.652351, , 
424928.367, 331745.633, 23.45, 1.655911, , 
425983.967, 331815.033, 23.54, 1.650798, , 
428195.567, 331751.867, 23.64, 1.638716, , 
431937.000, 331861.167, 23.74, 1.619879, , 
436972.800, 331809.533, 23.84, 1.593444, , 
442138.067, 331749.333, 23.94, 1.566590, , 
448409.300, 331872.800, 24.04, 1.535732, , 
455377.533, 331944.933, 24.14, 1.501518, , 
463089.633, 331819.067, 24.24, 1.462871, , 
470299.667, 331866.133, 24.34, 1.428422, , 
478734.767, 331839.633, 24.44, 1.388238, , 
486909.833, 331846.200, 24.54, 1.350177, , 
494921.833, 331768.967, 24.64, 1.312924, , 
503136.367, 331881.900, 24.74, 1.276645, , 
510070.833, 331933.933, 24.84, 1.246193, , 
517766.767, 331967.333, 24.94, 1.212718, , 
524911.400, 332015.367, 25.03, 1.182203, , 
532785.267, 331758.633, 25.13, 1.146955, , 
539586.333, 331934.133, 25.24, 1.119600, , 
547649.733, 331918.433, 25.33, 1.086113, , 
553002.933, 331947.200, 25.43, 1.064417, , 
560962.100, 331977.333, 25.53, 1.032462, , 
565641.633, 331941.900, 25.63, 1.013527, , 
571866.367, 332063.000, 25.73, 0.989718, , 
578295.233, 332038.500, 25.83, 0.964393, , 
582172.800, 332006.067, 25.93, 0.949134, , 
587451.633, 331965.400, 26.03, 0.928545, , 
590905.433, 331834.133, 26.13, 0.914463, , 
595008.700, 331815.867, 26.23, 0.898766, , 
599118.400, 331844.933, 26.33, 0.883473, , 
600811.867, 331755.700, 26.43, 0.876515, , 
603927.067, 331710.467, 26.53, 0.864570, , 
606179.000, 331804.933, 26.63, 0.856835, , 
608783.533, 331841.233, 26.73, 0.847433, , 
610665.133, 331709.333, 26.82, 0.839593, , 
611473.367, 331737.233, 26.92, 0.836806, , 
613387.700, 331762.100, 27.03, 0.829940, , 
