FlowCell Text Data File: 85.3.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-11-15
Time: 15:25:34
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 869233
Source A Zero: 344722.3

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
185767.833, 334480.867, 37.87, 3.404804, , 
193772.600, 334449.567, 37.97, 3.309653, , 
201842.633, 334451.700, 38.07, 3.217843, , 
208574.300, 334487.700, 38.17, 3.144255, , 
215714.633, 334480.833, 38.27, 3.068457, , 
223431.500, 334486.100, 38.37, 2.989393, , 
229914.367, 334456.467, 38.47, 2.924827, , 
237071.200, 334436.367, 38.57, 2.855707, , 
244238.600, 334451.033, 38.67, 2.788777, , 
251378.933, 334310.533, 38.77, 2.722983, , 
257482.733, 334389.200, 38.87, 2.669522, , 
263721.200, 334305.300, 38.97, 2.615082, , 
270553.167, 334328.833, 39.07, 2.557683, , 
277171.300, 334316.533, 39.16, 2.503214, , 
283757.033, 334422.833, 39.26, 2.451083, , 
290478.700, 334429.267, 39.37, 2.398439, , 
297686.600, 334442.033, 39.46, 2.343365, , 
303858.633, 334169.600, 39.56, 2.295349, , 
310078.500, 334234.600, 39.66, 2.250186, , 
316448.933, 334243.733, 39.76, 2.204482, , 
322114.700, 334244.500, 39.86, 2.164551, , 
327950.800, 334362.733, 39.96, 2.124939, , 
335260.533, 334411.000, 40.06, 2.075654, , 
342012.033, 334393.233, 40.16, 2.030665, , 
347383.267, 334355.467, 40.26, 1.995343, , 
355166.467, 334301.100, 40.36, 1.945112, , 
363317.333, 334375.367, 40.46, 1.894550, , 
368918.867, 334241.833, 40.56, 1.859219, , 
375538.033, 334269.700, 40.65, 1.819387, , 
381889.133, 334302.100, 40.76, 1.781864, , 
389645.033, 334259.967, 40.86, 1.736334, , 
395494.500, 334273.367, 40.95, 1.702891, , 
401908.300, 334252.000, 41.05, 1.666544, , 
409127.367, 334200.800, 41.16, 1.626136, , 
415585.533, 334206.833, 41.25, 1.590930, , 
422419.367, 334327.500, 41.35, 1.555038, , 
429020.200, 334307.267, 41.45, 1.520007, , 
436551.067, 334276.067, 41.55, 1.480637, , 
442939.633, 334403.500, 41.65, 1.448800, , 
448366.767, 334427.433, 41.75, 1.421555, , 
455891.500, 334454.133, 41.85, 1.384280, , 
461190.567, 334358.600, 41.95, 1.357630, , 
467480.267, 334322.867, 42.05, 1.326905, , 
473158.167, 334303.367, 42.15, 1.299606, , 
