FlowCell Text Data File: 39.2.csv
Software Version: 2.00P
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.210
Date: 2022-11-18
Time: 14:40:51
User: Katie

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 40.0% v/v
Time: 3h
w2t:  x 10^0
Number of Tubes: 2
Sample Volume: 0.5 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 22 ms
Sample A Zero: 860628
Source A Zero: 343375.2

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
657960.433, 334446.900, 20.68, 0.544992, , 
658631.233, 334363.467, 20.78, 0.542137, , 
658889.967, 334273.267, 20.87, 0.540646, , 
659705.600, 334382.400, 20.97, 0.538597, , 
659729.667, 334433.267, 21.07, 0.538857, , 
660487.633, 334419.633, 21.17, 0.536181, , 
661036.867, 334468.533, 21.27, 0.534640, , 
661267.033, 334513.400, 21.37, 0.534158, , 
660645.733, 334397.400, 21.47, 0.535493, , 
660912.067, 334437.433, 21.57, 0.534855, , 
660362.933, 334335.133, 21.67, 0.536037, , 
659807.900, 334363.100, 21.77, 0.538118, , 
658647.233, 334310.567, 21.87, 0.541727, , 
657470.533, 334324.400, 21.97, 0.545844, , 
656083.933, 334327.367, 22.07, 0.550615, , 
654353.633, 334305.200, 22.17, 0.556409, , 
652162.300, 334269.100, 22.27, 0.563715, , 
650118.500, 334292.100, 22.36, 0.570933, , 
647456.767, 334310.633, 22.46, 0.580291, , 
644664.333, 334297.767, 22.57, 0.589931, , 
641729.533, 334333.433, 22.66, 0.600439, , 
638534.100, 334335.100, 22.76, 0.611685, , 
634782.233, 334376.933, 22.86, 0.625228, , 
630511.067, 334328.967, 22.96, 0.640099, , 
626052.500, 334465.533, 23.06, 0.656988, , 
620294.967, 334295.733, 23.16, 0.676637, , 
614151.367, 334244.800, 23.26, 0.698694, , 
607332.033, 334286.700, 23.36, 0.724104, , 
600309.067, 334448.533, 23.46, 0.751368, , 
591930.933, 334280.800, 23.56, 0.781869, , 
583964.133, 334412.933, 23.66, 0.813252, , 
575410.467, 334408.200, 23.76, 0.846428, , 
567151.733, 334298.700, 23.86, 0.878225, , 
559054.300, 334294.167, 23.95, 0.910556, , 
551565.100, 334220.167, 24.06, 0.940409, , 
544846.500, 334236.033, 24.16, 0.968096, , 
539208.167, 334420.633, 24.25, 0.992749, , 
534038.833, 334396.767, 24.35, 1.014267, , 
529405.767, 334274.733, 24.45, 1.033055, , 
526223.367, 334328.933, 24.55, 1.046988, , 
523890.667, 334376.400, 24.65, 1.057306, , 
522510.300, 334351.767, 24.75, 1.063077, , 
521695.033, 334319.133, 24.85, 1.066372, , 
521786.200, 334215.533, 24.95, 1.065281, , 
523119.667, 334336.500, 25.05, 1.060352, , 
524982.867, 334244.067, 25.15, 1.051728, , 
527699.233, 334189.900, 25.25, 1.039749, , 
531148.333, 334198.133, 25.35, 1.025144, , 
535166.200, 334277.400, 25.45, 1.008718, , 
539542.333, 334262.033, 25.55, 0.990287, , 
544407.200, 334174.367, 25.65, 0.969496, , 
549563.133, 334235.033, 25.75, 0.948692, , 
555264.433, 334253.467, 25.84, 0.925590, , 
560378.100, 334223.700, 25.95, 0.904759, , 
566181.133, 334212.167, 26.05, 0.881497, , 
571192.400, 334169.000, 26.14, 0.861375, , 
576932.267, 334229.467, 26.24, 0.839281, , 
582274.467, 334125.900, 26.34, 0.817841, , 
587683.167, 334213.533, 26.44, 0.797623, , 
592459.733, 334151.233, 26.54, 0.778987, , 
597170.567, 334123.667, 26.64, 0.760978, , 
601776.133, 334252.567, 26.74, 0.744556, , 
606093.967, 334408.867, 26.84, 0.729519, , 
609503.800, 334237.400, 26.94, 0.715739, , 
612439.200, 334301.633, 27.04, 0.705360, , 
615483.567, 334287.067, 27.14, 0.694103, , 
617614.033, 334279.533, 27.24, 0.686276, , 
619531.867, 334260.167, 27.34, 0.679168, , 
621433.033, 334307.700, 27.44, 0.672592, , 
622743.933, 334360.267, 27.54, 0.668204, , 
624214.367, 334265.700, 27.63, 0.662260, , 
624823.800, 334262.133, 27.73, 0.660040, , 
625639.967, 334251.300, 27.83, 0.657029, , 
626081.367, 334201.600, 27.93, 0.655107, , 
625695.467, 334233.067, 28.03, 0.656707, , 
625350.100, 334161.367, 28.13, 0.657467, , 
624440.833, 334144.467, 28.23, 0.660627, , 
623342.667, 334161.167, 28.33, 0.664701, , 
622394.000, 334296.733, 28.43, 0.669041, , 
620606.067, 334312.733, 28.53, 0.675623, , 
618804.867, 334330.267, 28.63, 0.682282, , 
616831.533, 334409.267, 28.73, 0.690002, , 
614356.800, 334379.967, 28.83, 0.698852, , 
611520.833, 334307.033, 28.93, 0.708773, , 
608865.000, 334308.767, 29.02, 0.718580, , 
605755.267, 334347.533, 29.12, 0.730364, , 
602714.233, 334361.700, 29.23, 0.741785, , 
599029.600, 334305.767, 29.33, 0.755209, , 
595353.500, 334355.833, 29.42, 0.769399, , 
591591.867, 334457.500, 29.53, 0.784347, , 
587280.733, 334368.500, 29.62, 0.800208, , 
582868.900, 334430.167, 29.72, 0.817593, , 
578438.567, 334508.033, 29.82, 0.835287, , 
573493.067, 334368.900, 29.92, 0.853675, , 
568326.733, 334340.700, 30.02, 0.873850, , 
563071.633, 334376.000, 30.12, 0.894993, , 
557362.400, 334346.333, 30.22, 0.917728, , 
550996.467, 334291.000, 30.32, 0.943207, , 
544558.467, 334260.067, 30.42, 0.969448, , 
537672.700, 334401.933, 30.52, 0.999041, , 
529564.467, 334334.200, 30.62, 1.032780, , 
520591.933, 334291.767, 30.72, 1.070951, , 
510693.600, 334354.000, 30.82, 1.114571, , 
499170.400, 334216.100, 30.92, 1.165003, , 
486386.167, 334375.600, 31.02, 1.224463, , 
471448.900, 334358.367, 31.11, 1.294543, , 
454786.667, 334426.833, 31.22, 1.375980, , 
436725.267, 334447.467, 31.31, 1.467315, , 
416389.233, 334545.900, 31.41, 1.575287, , 
394901.667, 334458.200, 31.51, 1.693933, , 
372881.000, 334373.133, 31.61, 1.822485, , 
350360.767, 334316.833, 31.71, 1.962299, , 
327494.100, 334358.700, 31.81, 2.114470, , 
306548.200, 334238.933, 31.91, 2.262407, , 
286224.133, 334179.400, 32.01, 2.416385, , 
267220.300, 334284.333, 32.11, 2.571701, , 
249687.667, 334191.633, 32.21, 2.723797, , 
234212.300, 334197.167, 32.31, 2.867824, , 
220470.367, 334272.867, 32.41, 3.004405, , 
207962.033, 334264.800, 32.51, 3.135794, , 
197353.333, 334190.833, 32.61, 3.253128, , 
188280.467, 334231.667, 32.70, 3.359315, , 
180343.600, 334298.333, 32.81, 3.456688, , 
173832.200, 334267.200, 32.90, 3.539234, , 
168548.200, 334409.933, 33.00, 3.609663, , 
164152.500, 334336.100, 33.11, 3.668636, , 
160784.300, 334175.367, 33.20, 3.714210, , 
158147.833, 334299.600, 33.30, 3.752254, , 
156890.667, 334260.067, 33.40, 3.769949, , 
156129.400, 334188.200, 33.50, 3.780411, , 
156288.600, 334309.700, 33.60, 3.778936, , 
156970.500, 334148.300, 33.70, 3.768051, , 
158511.600, 334203.067, 33.80, 3.746434, , 
160656.900, 334162.800, 33.90, 3.715909, , 
163397.067, 334232.933, 34.00, 3.678322, , 
166819.833, 334266.433, 34.10, 3.631893, , 
170992.767, 334370.700, 34.20, 3.576994, , 
175832.300, 334347.733, 34.30, 3.514031, , 
181529.567, 334309.600, 34.40, 3.442013, , 
187867.533, 334285.967, 34.50, 3.364622, , 
195423.300, 334297.267, 34.59, 3.275961, , 
203644.733, 334307.267, 34.69, 3.183290, , 
212547.900, 334301.667, 34.80, 3.086956, , 
222225.633, 334354.500, 34.89, 2.987109, , 
232980.833, 334351.500, 34.99, 2.880726, , 
244072.433, 334382.800, 35.09, 2.776272, , 
255543.000, 334376.500, 35.19, 2.672877, , 
267098.900, 334312.900, 35.29, 2.572916, , 
278784.400, 334390.067, 35.39, 2.477072, , 
289628.233, 334258.033, 35.49, 2.390308, , 
300476.500, 334290.267, 35.59, 2.307773, , 
310523.300, 334325.167, 35.69, 2.233993, , 
320335.200, 334275.933, 35.79, 2.163653, , 
330318.367, 334185.333, 35.89, 2.093979, , 
339492.733, 334182.433, 35.98, 2.032307, , 
349471.200, 334369.133, 36.09, 1.968372, , 
358260.633, 334338.733, 36.19, 1.912268, , 
367176.167, 334319.433, 36.28, 1.856820, , 
375477.000, 334219.100, 36.38, 1.805835, , 
383720.267, 334296.400, 36.49, 1.757484, , 
391519.100, 334338.267, 36.59, 1.712486, , 
400231.700, 334318.700, 36.68, 1.662823, , 
408007.600, 334263.067, 36.78, 1.619146, , 
416123.667, 334401.433, 36.88, 1.575751, , 
422716.733, 334261.800, 36.98, 1.539434, , 
431036.867, 334243.000, 37.08, 1.495444, , 
439222.200, 334296.867, 37.18, 1.453472, , 
447187.200, 334268.367, 37.28, 1.412835, , 
455231.767, 334284.067, 37.38, 1.372817, , 
463797.800, 334354.333, 37.48, 1.331338, , 
471747.967, 334307.000, 37.58, 1.292770, , 
479267.500, 334230.400, 37.68, 1.256666, , 
486989.933, 334262.167, 37.78, 1.220908, , 
494386.433, 334357.367, 37.87, 1.187625, , 
500743.100, 334340.033, 37.98, 1.158758, , 
507436.600, 334226.100, 38.08, 1.128108, , 
514219.900, 334258.733, 38.17, 1.098444, , 
521058.633, 334319.833, 38.27, 1.069123, , 
526523.767, 334319.233, 38.37, 1.045639, , 
531564.133, 334185.533, 38.47, 1.023298, , 
537573.633, 334225.233, 38.57, 0.998266, , 
542418.167, 334216.600, 38.67, 0.978018, , 
547923.800, 334255.500, 38.77, 0.955553, , 
553312.233, 334144.367, 38.87, 0.932781, , 
558294.733, 334192.100, 38.97, 0.912928, , 
562835.000, 334183.633, 39.07, 0.894644, , 
567511.500, 334186.067, 39.17, 0.876039, , 
572810.967, 334099.633, 39.27, 0.854540, , 
576846.200, 334166.500, 39.37, 0.839192, , 
580511.733, 334158.500, 39.47, 0.824883, , 
584060.333, 334265.133, 39.57, 0.811887, , 
588124.967, 334263.200, 39.67, 0.796266, , 
591579.033, 334285.033, 39.76, 0.783235, , 
594168.900, 334263.333, 39.86, 0.773259, , 
596801.967, 334330.467, 39.97, 0.763760, , 
599247.300, 334307.600, 40.06, 0.754404, , 
601784.600, 334395.700, 40.16, 0.745488, , 
604877.833, 334240.267, 40.26, 0.732904, , 
607767.000, 334280.800, 40.36, 0.722453, , 
609738.833, 334274.200, 40.46, 0.715119, , 
611850.400, 334249.467, 40.56, 0.707173, , 
615373.167, 334421.000, 40.66, 0.695408, , 
617357.533, 334281.333, 40.76, 0.687222, , 
619167.967, 334258.600, 40.86, 0.680480, , 
621260.600, 334357.100, 40.96, 0.673550, , 
623385.167, 334331.333, 41.06, 0.665693, , 
625494.933, 334268.833, 41.16, 0.657669, , 
627589.700, 334321.533, 41.25, 0.650500, , 
629252.200, 334283.500, 41.36, 0.644290, , 
630866.967, 334223.300, 41.45, 0.638117, , 
632343.200, 334249.500, 41.56, 0.633034, , 
633764.767, 334247.167, 41.66, 0.627965, , 
635426.067, 334274.000, 41.75, 0.622254, , 
636628.633, 334181.333, 41.86, 0.617375, , 
637505.733, 334234.900, 41.95, 0.614637, , 
638749.567, 334194.767, 42.05, 0.609980, , 
639805.000, 334161.000, 42.15, 0.606038, , 
